instance,tw,detkdecomp
hypergraphs_62.dtl,2,0.29
hypergraphs_63.dtl,2,1.22
hypergraphs_64.dtl,2,1.22
hypergraphs_65.dtl,2,1.23
hypergraphs_66.dtl,2,0.29
hypergraphs_67.dtl,2,0.23
hypergraphs_68.dtl,2,0.21
hypergraphs_69.dtl,2,0.2
hypergraphs_6.dtl,2,0.24
hypergraphs_70.dtl,2,0.22
hypergraphs_7.dtl,2,0.2
hypergraphs_8.dtl,2,0.18
hypergraphs_9.dtl,2,0.25
hypergraphs_adder_15.hg,2,0.68
hypergraphs_adder_25.hg,2,1.1
hypergraphs_adder_50.hg,2,1.86
hypergraphs_adder_75.hg,2,2.95
hypergraphs_adder_99.hg,2,3.81
hypergraphs_aim-50-1_6-no-3.hg,-1,TO
hypergraphs_aim-50-1-6-sat-1.xml.hg,-1,TO
hypergraphs_aim-50-1-6-sat-2.xml.hg,-1,TO
hypergraphs_aim-50-1-6-sat-3.xml.hg,-1,TO
hypergraphs_aim-50-1-6-sat-4.xml.hg,-1,TO
hypergraphs_aim-50-1-6-unsat-1.xml.hg,-1,TO
hypergraphs_aim-50-1-6-unsat-2.xml.hg,-1,TO
hypergraphs_aim-50-1-6-unsat-3.xml.hg,-1,TO
hypergraphs_aim-50-1-6-unsat-4.xml.hg,-1,TO
hypergraphs_aim-50-2_0-no-3.hg,-1,TO
hypergraphs_aim-50-2-0-sat-1.xml.hg,-1,TO
hypergraphs_aim-50-2-0-sat-2.xml.hg,-1,TO
hypergraphs_aim-50-2-0-sat-3.xml.hg,-1,TO
hypergraphs_aim-50-2-0-sat-4.xml.hg,-1,TO
hypergraphs_aim-50-2-0-unsat-1.xml.hg,-1,TO
hypergraphs_aim-50-2-0-unsat-2.xml.hg,-1,TO
hypergraphs_aim-50-2-0-unsat-3.xml.hg,-1,TO
hypergraphs_aim-50-2-0-unsat-4.xml.hg,-1,TO
hypergraphs_aim-50-2_0-yes1-3.hg,-1,TO
hypergraphs_aim-50-3_4-yes1-3.hg,-1,TO
hypergraphs_atv_partial_system.hg,3,4.07
hypergraphs_b02.hg,3,0.42
hypergraphs_b06.hg,4,52.67
hypergraphs_bridge_15.hg,2,0.95
hypergraphs_bridge_25.hg,2,1.39
hypergraphs_bridge_50.hg,2,2.97
hypergraphs_bridge_75.hg,2,3.65
hypergraphs_bridge_99.hg,2,5.28
hypergraphs_clique_15.hg,8,55.23
