instance,tw,detkdecomp
hypergraphs_Kakuro-hard-097-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-098-ext.xml.hg,3,3.81
hypergraphs_Kakuro-hard-099-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-103-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-104-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-106-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-109-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-112-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-113-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-114-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-115-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-116-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-118-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-119-ext.xml.hg,4,2205.21
hypergraphs_Kakuro-hard-121-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-122-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-123-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-124-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-125-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-126-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-127-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-128-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-129-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-130-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-131-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-132-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-133-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-134-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-135-ext.xml.hg,-1,RTE
hypergraphs_Kakuro-hard-136-ext.xml.hg,4,3069.32
hypergraphs_Kakuro-hard-137-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-138-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-140-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-141-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-144-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-145-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-149-ext.xml.hg,4,3349.36
hypergraphs_Kakuro-hard-150-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-151-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-153-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-154-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-155-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-156-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-157-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-158-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-159-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-161-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-162-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-163-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-165-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-168-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-169-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-170-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-171-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-172-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-173-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-174-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-000-ext.xml.hg,3,0.3
hypergraphs_Kakuro-medium-001-ext.xml.hg,3,0.33
hypergraphs_Kakuro-medium-002-ext.xml.hg,2,0.58
hypergraphs_Kakuro-medium-003-ext.xml.hg,3,0.68
hypergraphs_Kakuro-medium-004-ext.xml.hg,-1,RTE
hypergraphs_Kakuro-medium-005-ext.xml.hg,4,53.52
hypergraphs_Kakuro-medium-006-ext.xml.hg,4,81.88
hypergraphs_Kakuro-medium-007-ext.xml.hg,3,0.87
hypergraphs_Kakuro-medium-008-ext.xml.hg,4,89.06
hypergraphs_Kakuro-medium-009-ext.xml.hg,3,0.84
hypergraphs_Kakuro-medium-010-ext.xml.hg,3,0.91
hypergraphs_Kakuro-medium-011-ext.xml.hg,4,71.07
hypergraphs_Kakuro-medium-012-ext.xml.hg,3,0.85
hypergraphs_Kakuro-medium-013-ext.xml.hg,3,0.74
hypergraphs_Kakuro-medium-014-ext.xml.hg,3,0.67
hypergraphs_Kakuro-medium-015-ext.xml.hg,4,68.59
hypergraphs_Kakuro-medium-016-ext.xml.hg,3,0.83
hypergraphs_Kakuro-medium-017-ext.xml.hg,3,0.82
hypergraphs_Kakuro-medium-018-ext.xml.hg,3,0.96
hypergraphs_Kakuro-medium-019-ext.xml.hg,4,113.52
hypergraphs_Kakuro-medium-020-ext.xml.hg,4,76.71
hypergraphs_Kakuro-medium-021-ext.xml.hg,3,0.86
hypergraphs_Kakuro-medium-022-ext.xml.hg,3,0.7
hypergraphs_Kakuro-medium-023-ext.xml.hg,4,195.68
hypergraphs_Kakuro-medium-024-ext.xml.hg,3,0.91
hypergraphs_Kakuro-medium-025-ext.xml.hg,4,76.04
hypergraphs_Kakuro-medium-026-ext.xml.hg,4,41.38
hypergraphs_Kakuro-medium-027-ext.xml.hg,4,135.08
hypergraphs_Kakuro-medium-028-ext.xml.hg,4,84.73
hypergraphs_Kakuro-medium-029-ext.xml.hg,3,0.86
hypergraphs_Kakuro-medium-030-ext.xml.hg,4,60.35
hypergraphs_Kakuro-medium-031-ext.xml.hg,4,33.65
hypergraphs_Kakuro-medium-032-ext.xml.hg,3,0.88
hypergraphs_Kakuro-medium-033-ext.xml.hg,4,70.26
hypergraphs_Kakuro-medium-034-ext.xml.hg,3,0.98
hypergraphs_Kakuro-medium-035-ext.xml.hg,3,0.76
hypergraphs_Kakuro-medium-036-ext.xml.hg,3,0.78
hypergraphs_Kakuro-medium-037-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-038-ext.xml.hg,4,69.14
hypergraphs_Kakuro-medium-039-ext.xml.hg,4,70.61
hypergraphs_Kakuro-medium-040-ext.xml.hg,4,83.49
hypergraphs_Kakuro-medium-041-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-042-ext.xml.hg,4,89.01
hypergraphs_Kakuro-medium-043-ext.xml.hg,4,88.06
hypergraphs_Kakuro-medium-044-ext.xml.hg,4,132.36
hypergraphs_Kakuro-medium-045-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-046-ext.xml.hg,4,70.0
hypergraphs_Kakuro-medium-047-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-048-ext.xml.hg,4,133.96
hypergraphs_Kakuro-medium-049-ext.xml.hg,3,1.26
hypergraphs_Kakuro-medium-050-ext.xml.hg,4,160.35
hypergraphs_Kakuro-medium-051-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-052-ext.xml.hg,4,285.37
hypergraphs_Kakuro-medium-053-ext.xml.hg,4,212.88
hypergraphs_Kakuro-medium-054-ext.xml.hg,4,189.76
hypergraphs_Kakuro-medium-055-ext.xml.hg,3,1.13
hypergraphs_Kakuro-medium-056-ext.xml.hg,4,206.69
hypergraphs_Kakuro-medium-057-ext.xml.hg,3,6.52
hypergraphs_Kakuro-medium-058-ext.xml.hg,3,1.84
hypergraphs_Kakuro-medium-059-ext.xml.hg,4,1817.57
hypergraphs_Kakuro-medium-060-ext.xml.hg,3,3.16
hypergraphs_Kakuro-medium-061-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-063-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-064-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-067-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-068-ext.xml.hg,3,3.09
hypergraphs_Kakuro-medium-069-ext.xml.hg,3,6.29
hypergraphs_Kakuro-medium-070-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-071-ext.xml.hg,3,3.16
hypergraphs_Kakuro-medium-072-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-073-ext.xml.hg,3,3.28
hypergraphs_Kakuro-medium-074-ext.xml.hg,3,3.33
hypergraphs_Kakuro-medium-081-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-082-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-084-ext.xml.hg,4,2462.98
hypergraphs_Kakuro-medium-085-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-086-ext.xml.hg,3,7.31
hypergraphs_Kakuro-medium-089-ext.xml.hg,3,4.56
hypergraphs_Kakuro-medium-090-ext.xml.hg,3,3.81
hypergraphs_Kakuro-medium-091-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-093-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-094-ext.xml.hg,3,3.81
hypergraphs_Kakuro-medium-098-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-099-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-101-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-104-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-108-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-109-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-110-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-111-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-112-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-114-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-115-ext.xml.hg,4,2469.95
hypergraphs_Kakuro-medium-117-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-118-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-119-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-120-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-121-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-122-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-123-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-124-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-125-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-126-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-127-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-128-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-129-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-130-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-131-ext.xml.hg,-1,RTE
hypergraphs_Kakuro-medium-132-ext.xml.hg,4,3286.12
hypergraphs_Kakuro-medium-133-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-134-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-136-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-137-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-140-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-141-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-145-ext.xml.hg,4,3399.71
hypergraphs_Kakuro-medium-146-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-147-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-149-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-150-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-151-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-152-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-153-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-154-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-155-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-156-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-158-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-159-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-160-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-162-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-165-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-166-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-167-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-168-ext.xml.hg,-1,TO
hypergraphs_Kakuro-medium-169-ext.xml.hg,-1,TO
hypergraphs_lubm-q10.hg,1,0.2
hypergraphs_lubm-q11.hg,1,0.11
hypergraphs_lubm-q12.hg,1,0.18
hypergraphs_lubm-q13.hg,1,0.1
hypergraphs_lubm-q14.hg,1,0.14
hypergraphs_lubm-q1.hg,1,0.18
hypergraphs_lubm-q2.hg,2,0.11
hypergraphs_lubm-q3.hg,1,0.14
hypergraphs_lubm-q4.hg,1,0.21
hypergraphs_lubm-q5.hg,1,0.1
hypergraphs_lubm-q6.hg,1,0.14
hypergraphs_lubm-q7.hg,1,0.21
hypergraphs_lubm-q8.hg,1,0.2
hypergraphs_lubm-q9.hg,2,0.11
hypergraphs_MaxCSP-connell.xml.hg,3,0.18
hypergraphs_MaxCSP-eye.xml.hg,2,0.3
hypergraphs_MaxCSP-simple.xml.hg,2,0.25
hypergraphs_MaxCSP-spot5-0008.xml.hg,2,0.26
hypergraphs_MaxCSP-wijsmanguo.xml.hg,2,0.39
hypergraphs_mdd-7-25-5-56-01.xml.hg,4,431.18
hypergraphs_mdd-7-25-5-56-02.xml.hg,-1,TO
hypergraphs_mdd-7-25-5-56-03.xml.hg,4,351.53
hypergraphs_mdd-7-25-5-56-04.xml.hg,4,376.25
hypergraphs_mdd-7-25-5-56-05.xml.hg,-1,TO
hypergraphs_mdd-7-25-5-56-06.xml.hg,4,481.55
hypergraphs_mdd-7-25-5-56-07.xml.hg,4,416.39
hypergraphs_mdd-7-25-5-56-08.xml.hg,4,378.68
hypergraphs_mdd-7-25-5-56-09.xml.hg,4,439.83
hypergraphs_mdd-7-25-5-56-10.xml.hg,4,335.41
hypergraphs_mdd-7-25-5-56-11.xml.hg,4,384.35
hypergraphs_mdd-7-25-5-56-12.xml.hg,4,366.85
hypergraphs_mdd-7-25-5-56-13.xml.hg,4,370.62
hypergraphs_mdd-7-25-5-56-14.xml.hg,4,440.84
hypergraphs_mdd-7-25-5-56-15.xml.hg,4,378.98
hypergraphs_mdd-7-25-5-56-16.xml.hg,4,437.54
hypergraphs_mdd-7-25-5-56-17.xml.hg,4,455.44
hypergraphs_mdd-7-25-5-56-18.xml.hg,4,413.44
hypergraphs_mdd-7-25-5-56-19.xml.hg,4,511.42
hypergraphs_mdd-7-25-5-56-20.xml.hg,4,423.3
hypergraphs_mdd-7-25-5-56-21.xml.hg,4,401.91
hypergraphs_mdd-7-25-5-56-22.xml.hg,4,414.68
hypergraphs_mdd-7-25-5-56-23.xml.hg,-1,TO
hypergraphs_mdd-7-25-5-56-24.xml.hg,4,389.17
hypergraphs_mdd-7-25-5-56-25.xml.hg,4,411.48
hypergraphs_mdd-7-25-5-ps05-psh07-1.xml.hg,4,491.84
hypergraphs_mdd-7-25-5-ps05-psh07-2.xml.hg,4,597.37
hypergraphs_mdd-7-25-5-ps05-psh07-3.xml.hg,4,535.45
hypergraphs_mdd-7-25-5-ps05-psh07-4.xml.hg,4,444.91
hypergraphs_mdd-7-25-5-ps05-psh07-5.xml.hg,4,513.11
hypergraphs_mdd-7-25-5-ps05-psh07-6.xml.hg,4,439.47
hypergraphs_mdd-7-25-5-ps05-psh07-7.xml.hg,4,500.95
hypergraphs_mdd-7-25-5-ps05-psh07-8.xml.hg,4,556.49
hypergraphs_mdd-7-25-5-ps05-psh07-9.xml.hg,4,511.03
hypergraphs_mdd-7-25-5-ps05-psh09-0.xml.hg,4,584.3
hypergraphs_mdd-7-25-5-ps05-psh09-1.xml.hg,-1,TO
hypergraphs_mdd-7-25-5-ps05-psh09-2.xml.hg,4,460.78
hypergraphs_mdd-7-25-5-ps05-psh09-3.xml.hg,4,465.05
hypergraphs_mdd-7-25-5-ps05-psh09-4.xml.hg,4,532.65
hypergraphs_mdd-7-25-5-ps05-psh09-5.xml.hg,4,499.87
hypergraphs_mdd-7-25-5-ps05-psh09-6.xml.hg,4,504.98
hypergraphs_mdd-7-25-5-ps05-psh09-7.xml.hg,4,513.44
hypergraphs_mdd-7-25-5-ps05-psh09-8.xml.hg,-1,TO
hypergraphs_mdd-7-25-5-ps05-psh09-9.xml.hg,-1,TO
hypergraphs_NewSystem1.hg,3,4.42
hypergraphs_NewSystem2.hg,3,95.21
hypergraphs_NewSystem3.hg,-1,TO
hypergraphs_NewSystem4.hg,-1,TO
hypergraphs_Nonogram-001-table.xml.hg,-1,TO
hypergraphs_Nonogram-002-table.xml.hg,-1,TO
hypergraphs_Nonogram-003-table.xml.hg,-1,TO
hypergraphs_Nonogram-004-table.xml.hg,-1,TO
hypergraphs_Nonogram-005-table.xml.hg,-1,TO
hypergraphs_Nonogram-006-table.xml.hg,-1,TO
hypergraphs_Nonogram-007-table.xml.hg,-1,TO
hypergraphs_Nonogram-008-table.xml.hg,-1,TO
hypergraphs_Nonogram-009-table.xml.hg,-1,TO
hypergraphs_Nonogram-010-table.xml.hg,-1,TO
hypergraphs_Nonogram-011-table.xml.hg,-1,TO
hypergraphs_Nonogram-012-table.xml.hg,-1,TO
hypergraphs_Nonogram-013-table.xml.hg,-1,TO
hypergraphs_Nonogram-014-table.xml.hg,-1,TO
hypergraphs_Nonogram-015-table.xml.hg,-1,TO
hypergraphs_Nonogram-016-table.xml.hg,-1,TO
hypergraphs_Nonogram-017-table.xml.hg,-1,TO
hypergraphs_Nonogram-018-table.xml.hg,-1,TO
hypergraphs_Nonogram-020-table.xml.hg,-1,TO
hypergraphs_Nonogram-021-table.xml.hg,-1,TO
hypergraphs_Nonogram-022-table.xml.hg,-1,TO
hypergraphs_Nonogram-023-table.xml.hg,-1,TO
hypergraphs_Nonogram-024-table.xml.hg,-1,TO
hypergraphs_Nonogram-025-table.xml.hg,-1,TO
hypergraphs_Nonogram-027-table.xml.hg,-1,TO
hypergraphs_Nonogram-028-table.xml.hg,-1,TO
hypergraphs_Nonogram-029-table.xml.hg,-1,TO
hypergraphs_Nonogram-030-table.xml.hg,-1,TO
hypergraphs_Nonogram-031-table.xml.hg,-1,TO
hypergraphs_Nonogram-032-table.xml.hg,-1,TO
hypergraphs_Nonogram-033-table.xml.hg,-1,TO
hypergraphs_Nonogram-034-table.xml.hg,-1,TO
hypergraphs_Nonogram-035-table.xml.hg,-1,TO
hypergraphs_Nonogram-036-table.xml.hg,-1,TO
hypergraphs_Nonogram-037-table.xml.hg,-1,TO
hypergraphs_Nonogram-038-table.xml.hg,-1,TO
hypergraphs_Nonogram-039-table.xml.hg,-1,TO
hypergraphs_Nonogram-040-table.xml.hg,-1,TO
hypergraphs_Nonogram-041-table.xml.hg,-1,TO
hypergraphs_Nonogram-042-table.xml.hg,-1,TO
hypergraphs_Nonogram-043-table.xml.hg,-1,TO
hypergraphs_Nonogram-044-table.xml.hg,-1,TO
hypergraphs_Nonogram-045-table.xml.hg,-1,TO
hypergraphs_Nonogram-047-table.xml.hg,-1,TO
hypergraphs_Nonogram-048-table.xml.hg,-1,TO
hypergraphs_Nonogram-049-table.xml.hg,-1,TO
hypergraphs_Nonogram-050-table.xml.hg,-1,TO
hypergraphs_Nonogram-051-table.xml.hg,-1,TO
hypergraphs_Nonogram-053-table.xml.hg,-1,TO
hypergraphs_Nonogram-054-table.xml.hg,-1,TO
hypergraphs_Nonogram-055-table.xml.hg,-1,TO
hypergraphs_Nonogram-056-table.xml.hg,-1,TO
hypergraphs_Nonogram-057-table.xml.hg,-1,TO
hypergraphs_Nonogram-058-table.xml.hg,-1,TO
hypergraphs_Nonogram-059-table.xml.hg,-1,TO
hypergraphs_Nonogram-060-table.xml.hg,-1,TO
hypergraphs_Nonogram-062-table.xml.hg,-1,TO
hypergraphs_Nonogram-063-table.xml.hg,-1,TO
hypergraphs_Nonogram-064-table.xml.hg,-1,TO
hypergraphs_Nonogram-066-table.xml.hg,-1,TO
hypergraphs_Nonogram-067-table.xml.hg,-1,TO
hypergraphs_Nonogram-068-table.xml.hg,-1,TO
hypergraphs_Nonogram-070-table.xml.hg,-1,TO
hypergraphs_Nonogram-072-table.xml.hg,-1,TO
hypergraphs_Nonogram-073-table.xml.hg,-1,TO
hypergraphs_Nonogram-074-table.xml.hg,-1,TO
hypergraphs_Nonogram-075-table.xml.hg,-1,TO
hypergraphs_Nonogram-076-table.xml.hg,-1,TO
hypergraphs_Nonogram-077-table.xml.hg,-1,TO
hypergraphs_Nonogram-078-table.xml.hg,-1,TO
hypergraphs_Nonogram-080-table.xml.hg,-1,TO
hypergraphs_Nonogram-081-table.xml.hg,-1,TO
hypergraphs_Nonogram-082-table.xml.hg,-1,TO
hypergraphs_Nonogram-083-table.xml.hg,-1,TO
hypergraphs_Nonogram-084-table.xml.hg,-1,TO
hypergraphs_Nonogram-085-table.xml.hg,-1,TO
hypergraphs_Nonogram-087-table.xml.hg,-1,TO
hypergraphs_Nonogram-089-table.xml.hg,-1,TO
hypergraphs_Nonogram-091-table.xml.hg,-1,TO
hypergraphs_Nonogram-092-table.xml.hg,-1,TO
hypergraphs_Nonogram-093-table.xml.hg,-1,TO
hypergraphs_Nonogram-094-table.xml.hg,-1,TO
hypergraphs_Nonogram-096-table.xml.hg,-1,TO
hypergraphs_Nonogram-097-table.xml.hg,-1,TO
hypergraphs_Nonogram-098-table.xml.hg,-1,TO
hypergraphs_Nonogram-099-table.xml.hg,-1,TO
hypergraphs_Nonogram-100-table.xml.hg,-1,TO
hypergraphs_Nonogram-101-table.xml.hg,-1,TO
hypergraphs_Nonogram-102-table.xml.hg,-1,TO
hypergraphs_Nonogram-104-table.xml.hg,-1,TO
hypergraphs_Nonogram-105-table.xml.hg,-1,TO
hypergraphs_Nonogram-106-table.xml.hg,-1,TO
hypergraphs_Nonogram-107-table.xml.hg,-1,TO
hypergraphs_Nonogram-108-table.xml.hg,-1,TO
hypergraphs_Nonogram-109-table.xml.hg,-1,TO
hypergraphs_Nonogram-110-table.xml.hg,-1,TO
hypergraphs_Nonogram-111-table.xml.hg,-1,TO
hypergraphs_Nonogram-113-table.xml.hg,-1,TO
hypergraphs_Nonogram-114-table.xml.hg,-1,TO
hypergraphs_Nonogram-115-table.xml.hg,-1,TO
hypergraphs_Nonogram-116-table.xml.hg,-1,TO
hypergraphs_Nonogram-117-table.xml.hg,-1,TO
hypergraphs_Nonogram-118-table.xml.hg,-1,TO
hypergraphs_Nonogram-119-table.xml.hg,-1,TO
hypergraphs_Nonogram-120-table.xml.hg,-1,TO
hypergraphs_Nonogram-121-table.xml.hg,-1,TO
hypergraphs_Nonogram-123-table.xml.hg,-1,TO
hypergraphs_Nonogram-124-table.xml.hg,-1,TO
hypergraphs_Nonogram-125-table.xml.hg,-1,TO
hypergraphs_Nonogram-126-table.xml.hg,-1,TO
hypergraphs_Nonogram-127-table.xml.hg,-1,TO
hypergraphs_Nonogram-128-table.xml.hg,-1,TO
hypergraphs_Nonogram-129-table.xml.hg,-1,TO
hypergraphs_Nonogram-131-table.xml.hg,-1,TO
hypergraphs_Nonogram-132-table.xml.hg,-1,TO
hypergraphs_Nonogram-133-table.xml.hg,-1,TO
hypergraphs_Nonogram-134-table.xml.hg,-1,TO
hypergraphs_Nonogram-135-table.xml.hg,-1,TO
hypergraphs_Nonogram-136-table.xml.hg,-1,TO
hypergraphs_Nonogram-137-table.xml.hg,-1,TO
hypergraphs_Nonogram-138-table.xml.hg,-1,TO
hypergraphs_Nonogram-140-table.xml.hg,-1,TO
hypergraphs_Nonogram-141-table.xml.hg,-1,TO
hypergraphs_Nonogram-142-table.xml.hg,-1,TO
hypergraphs_Nonogram-144-table.xml.hg,-1,TO
hypergraphs_Nonogram-145-table.xml.hg,-1,TO
hypergraphs_Nonogram-146-table.xml.hg,-1,TO
hypergraphs_Nonogram-147-table.xml.hg,-1,TO
hypergraphs_Nonogram-148-table.xml.hg,-1,TO
hypergraphs_Nonogram-149-table.xml.hg,-1,TO
hypergraphs_Nonogram-150-table.xml.hg,-1,TO
hypergraphs_Nonogram-151-table.xml.hg,-1,TO
hypergraphs_Nonogram-152-table.xml.hg,-1,TO
hypergraphs_Nonogram-153-table.xml.hg,-1,TO
hypergraphs_Nonogram-155-table.xml.hg,-1,TO
hypergraphs_Nonogram-156-table.xml.hg,-1,TO
hypergraphs_Nonogram-157-table.xml.hg,-1,TO
hypergraphs_Nonogram-158-table.xml.hg,-1,TO
hypergraphs_Nonogram-159-table.xml.hg,-1,TO
hypergraphs_Nonogram-160-table.xml.hg,-1,TO
hypergraphs_Nonogram-161-table.xml.hg,-1,TO
hypergraphs_Nonogram-162-table.xml.hg,-1,TO
hypergraphs_Nonogram-163-table.xml.hg,-1,TO
hypergraphs_Nonogram-164-table.xml.hg,-1,TO
hypergraphs_Nonogram-165-table.xml.hg,-1,TO
hypergraphs_Nonogram-166-table.xml.hg,-1,TO
hypergraphs_Nonogram-167-table.xml.hg,-1,TO
hypergraphs_Nonogram-168-table.xml.hg,-1,TO
hypergraphs_Nonogram-169-table.xml.hg,-1,TO
hypergraphs_Nonogram-170-table.xml.hg,-1,TO
hypergraphs_Nonogram-171-table.xml.hg,-1,TO
hypergraphs_Nonogram-172-table.xml.hg,-1,TO
hypergraphs_Nonogram-173-table.xml.hg,-1,TO
hypergraphs_Nonogram-175-table.xml.hg,-1,TO
hypergraphs_Nonogram-176-table.xml.hg,-1,TO
hypergraphs_Nonogram-177-table.xml.hg,-1,TO
hypergraphs_Nonogram-178-table.xml.hg,-1,TO
hypergraphs_Nonogram-179-table.xml.hg,-1,TO
hypergraphs_Nonogram-180-table.xml.hg,-1,TO
hypergraphs_Ontology-256-q10.hg,1,0.18
hypergraphs_Ontology-256-q11.hg,1,0.28
hypergraphs_Ontology-256-q12.hg,1,0.24
hypergraphs_Ontology-256-q13.hg,1,0.23
hypergraphs_Ontology-256-q14.hg,1,0.22
hypergraphs_Ontology-256-q15.hg,1,0.32
hypergraphs_Ontology-256-q16.hg,1,0.3
hypergraphs_Ontology-256-q17.hg,1,0.28
hypergraphs_Ontology-256-q18.hg,1,0.23
hypergraphs_Ontology-256-q19.hg,1,0.23
hypergraphs_Ontology-256-q1.hg,1,0.25
hypergraphs_Ontology-256-q20.hg,1,0.28
hypergraphs_Ontology-256-q2.hg,1,0.21
hypergraphs_Ontology-256-q3.hg,1,0.13
hypergraphs_Ontology-256-q4.hg,1,0.11
hypergraphs_Ontology-256-q5.hg,1,0.2
hypergraphs_Ontology-256-q6.hg,1,0.19
hypergraphs_Ontology-256-q7.hg,1,0.21
hypergraphs_Ontology-256-q8.hg,1,0.21
hypergraphs_Ontology-256-q9.hg,1,0.26
hypergraphs_par8-1-c.hg,-1,TO
hypergraphs_par8-2-c.hg,-1,TO
hypergraphs_par8-3-c.hg,-1,TO
hypergraphs_par8-4-c.hg,-1,TO
hypergraphs_par8-5-c.hg,-1,TO
hypergraphs_Pi-20-10-20-30-00.xml.hg,4,275.19
hypergraphs_Pi-20-10-20-30-01.xml.hg,4,272.65
hypergraphs_Pi-20-10-20-30-02.xml.hg,4,661.95
hypergraphs_Pi-20-10-20-30-03.xml.hg,4,290.95
hypergraphs_Pi-20-10-20-30-04.xml.hg,-1,TO
hypergraphs_Pi-20-10-20-30-05.xml.hg,-1,TO
hypergraphs_Pi-20-10-20-30-06.xml.hg,4,281.93
