instance,tw,gus_ip,triang_phyl_maxcomp,binred_ip_pp
phylogeny_ms_exp1_n_80_12.phy,1,0.32,0.22,465.0
phylogeny_ms_exp1_n_80_13.phy,26,125.27,6.23,327.81
phylogeny_ms_exp1_n_80_14.phy,14,TO,45.57,727.94
phylogeny_ms_exp1_n_80_15.phy,20,43.54,1.87,45.28
phylogeny_ms_exp1_n_80_16.phy,36,TO,352.7,TO
phylogeny_ms_exp1_n_80_17.phy,14,0.39,0.26,TO
phylogeny_ms_exp1_n_80_18.phy,16,193.63,4.5,TO
phylogeny_ms_exp1_n_80_19.phy,18,206.76,9.2,41.21
phylogeny_ms_exp1_n_80_1.phy,2,0.24,0.16,21.85
phylogeny_ms_exp1_n_80_2.phy,0,0.15,0.16,234.98
phylogeny_ms_exp1_n_80_3.phy,31,TO,52.82,TO
phylogeny_ms_exp1_n_80_4.phy,10,0.31,0.3,238.71
phylogeny_ms_exp1_n_80_5.phy,14,6.13,0.72,76.62
phylogeny_ms_exp1_n_80_6.phy,6,9.16,1.29,271.5
phylogeny_ms_exp1_n_80_7.phy,19,140.35,6.43,29.12
phylogeny_ms_exp1_n_80_8.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_80_9.phy,11,6.35,1.65,TO
phylogeny_ms_exp1_r_0.000000_0.phy,0,TO,693.7199999999999,MO
phylogeny_ms_exp1_r_0.000000_10.phy,0,7.58,4.38,MO
phylogeny_ms_exp1_r_0.000000_11.phy,0,50.62,20.64,TO
phylogeny_ms_exp1_r_0.000000_12.phy,0,11.9,12.83,MO
phylogeny_ms_exp1_r_0.000000_13.phy,0,10.74,9.77,MO
phylogeny_ms_exp1_r_0.000000_14.phy,0,902.94,122.12,MO
phylogeny_ms_exp1_r_0.000000_15.phy,0,4.35,3.33,MO
phylogeny_ms_exp1_r_0.000000_16.phy,0,497.06,111.76,MO
phylogeny_ms_exp1_r_0.000000_17.phy,0,3.58,1.86,MO
phylogeny_ms_exp1_r_0.000000_18.phy,0,4.76,2.62,TO
phylogeny_ms_exp1_r_0.000000_19.phy,0,1.34,1.77,MO
phylogeny_ms_exp1_r_0.000000_1.phy,0,6.66,4.87,MO
phylogeny_ms_exp1_r_0.000000_2.phy,0,14.86,10.15,MO
phylogeny_ms_exp1_r_0.000000_3.phy,0,210.08,57.29,MO
phylogeny_ms_exp1_r_0.000000_4.phy,0,4.04,2.87,MO
phylogeny_ms_exp1_r_0.000000_5.phy,0,5.83,3.4,MO
phylogeny_ms_exp1_r_0.000000_6.phy,0,489.37,93.68,MO
phylogeny_ms_exp1_r_0.000000_7.phy,0,803.38,100.39,MO
phylogeny_ms_exp1_r_0.000000_8.phy,0,255.68,55.49,MO
phylogeny_ms_exp1_r_0.000000_9.phy,0,51.06,75.43,MO
phylogeny_ms_exp1_r_0.200000_0.phy,0,377.75,146.82,MO
phylogeny_ms_exp1_r_0.200000_10.phy,0,166.96,15.4,MO
phylogeny_ms_exp1_r_0.200000_11.phy,26,TO,125.39,TO
phylogeny_ms_exp1_r_0.200000_12.phy,1,224.02,64.2,MO
phylogeny_ms_exp1_r_0.200000_13.phy,0,3.21,1.59,MO
phylogeny_ms_exp1_r_0.200000_14.phy,0,5.17,2.8,MO
phylogeny_ms_exp1_r_0.200000_15.phy,10,7.7,5.08,TO
phylogeny_ms_exp1_r_0.200000_16.phy,0,11.37,5.2,MO
phylogeny_ms_exp1_r_0.200000_17.phy,0,1443.39,249.87,MO
phylogeny_ms_exp1_r_0.200000_18.phy,0,26.83,13.8,TO
phylogeny_ms_exp1_r_0.200000_19.phy,5,70.21,53.08,TO
phylogeny_ms_exp1_r_0.200000_1.phy,15,48.66,18.49,225.41
phylogeny_ms_exp1_r_0.200000_2.phy,0,870.65,225.37,MO
phylogeny_ms_exp1_r_0.200000_3.phy,25,76.82,19.42,TO
phylogeny_ms_exp1_r_0.200000_4.phy,0,1642.56,267.39,MO
phylogeny_ms_exp1_r_0.200000_5.phy,7,TO,216.27,TO
phylogeny_ms_exp1_r_0.200000_6.phy,0,3.49,1.61,TO
phylogeny_ms_exp1_r_0.200000_7.phy,0,3.5,1.75,TO
phylogeny_ms_exp1_r_0.200000_8.phy,0,16.01,18.19,TO
phylogeny_ms_exp1_r_0.200000_9.phy,0,5.56,3.41,MO
phylogeny_ms_exp1_r_0.400000_0.phy,1,429.24,46.77,TO
phylogeny_ms_exp1_r_0.400000_10.phy,9,506.11,80.46,TO
phylogeny_ms_exp1_r_0.400000_11.phy,0,19.1,16.28,TO
phylogeny_ms_exp1_r_0.400000_12.phy,12,TO,821.7,MO
phylogeny_ms_exp1_r_0.400000_13.phy,0,21.87,5.98,TO
phylogeny_ms_exp1_r_0.400000_14.phy,0,16.34,13.16,MO
phylogeny_ms_exp1_r_0.400000_15.phy,1,2250.7799999999997,303.27,MO
phylogeny_ms_exp1_r_0.400000_16.phy,23,30.86,8.12,MO
phylogeny_ms_exp1_r_0.400000_17.phy,0,4.4,2.16,MO
phylogeny_ms_exp1_r_0.400000_18.phy,17,TO,398.04,TO
phylogeny_ms_exp1_r_0.400000_19.phy,0,6.36,3.65,MO
phylogeny_ms_exp1_r_0.400000_1.phy,60,822.16,56.36,TO
phylogeny_ms_exp1_r_0.400000_2.phy,0,86.18,28.69,TO
phylogeny_ms_exp1_r_0.400000_3.phy,0,92.74,25.94,TO
phylogeny_ms_exp1_r_0.400000_4.phy,0,4.6,3.04,TO
phylogeny_ms_exp1_r_0.400000_5.phy,0,12.93,13.92,TO
phylogeny_ms_exp1_r_0.400000_6.phy,0,3.4,1.69,TO
phylogeny_ms_exp1_r_0.400000_7.phy,3,273.08,87.97,MO
phylogeny_ms_exp1_r_0.400000_8.phy,0,29.62,23.38,TO
phylogeny_ms_exp1_r_0.400000_9.phy,0,3.6,2.33,MO
phylogeny_ms_exp1_r_0.600000_0.phy,5,2627.01,500.98,MO
phylogeny_ms_exp1_r_0.600000_10.phy,28,TO,2900.18,TO
phylogeny_ms_exp1_r_0.600000_11.phy,16,3.84,2.32,TO
phylogeny_ms_exp1_r_0.600000_12.phy,50,170.09,23.99,207.54
phylogeny_ms_exp1_r_0.600000_13.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_0.600000_14.phy,9,TO,240.31,MO
phylogeny_ms_exp1_r_0.600000_15.phy,0,3.08,1.65,2724.2
phylogeny_ms_exp1_r_0.600000_16.phy,62,TO,1473.97,MO
phylogeny_ms_exp1_r_0.600000_17.phy,14,5.77,3.7,TO
phylogeny_ms_exp1_r_0.600000_18.phy,6,5.91,2.8,MO
phylogeny_ms_exp1_r_0.600000_19.phy,26,TO,1543.22,MO
phylogeny_ms_exp1_r_0.600000_1.phy,6,TO,369.27,MO
phylogeny_ms_exp1_r_0.600000_2.phy,26,22.98,9.57,MO
phylogeny_ms_exp1_r_0.600000_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_0.600000_4.phy,22,12.43,7.27,MO
phylogeny_ms_exp1_r_0.600000_5.phy,1,3.51,1.84,TO
phylogeny_ms_exp1_r_0.600000_6.phy,0,4.84,2.95,MO
phylogeny_ms_exp1_r_0.600000_7.phy,3,114.97,54.72,TO
phylogeny_ms_exp1_r_0.600000_8.phy,0,9.86,4.74,MO
phylogeny_ms_exp1_r_0.600000_9.phy,58,TO,1798.92,MO
phylogeny_ms_exp1_r_0.800000_0.phy,47,TO,390.35,TO
phylogeny_ms_exp1_r_0.800000_10.phy,0,4.73,2.44,RTE
phylogeny_ms_exp1_r_0.800000_11.phy,13,TO,347.42,TO
phylogeny_ms_exp1_r_0.800000_12.phy,46,56.18,17.06,TO
phylogeny_ms_exp1_r_0.800000_13.phy,60,201.92,50.13,TO
phylogeny_ms_exp1_r_0.800000_14.phy,47,TO,463.86,1933.45
phylogeny_ms_exp1_r_0.800000_15.phy,59,TO,118.67,TO
phylogeny_ms_exp1_r_0.800000_16.phy,48,260.35,44.18,TO
phylogeny_ms_exp1_r_0.800000_17.phy,54,TO,871.13,TO
phylogeny_ms_exp1_r_0.800000_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_0.800000_19.phy,20,7.56,3.85,420.72
phylogeny_ms_exp1_r_0.800000_1.phy,0,17.03,10.56,TO
phylogeny_ms_exp1_r_0.800000_2.phy,0,10.19,4.71,MO
phylogeny_ms_exp1_r_0.800000_3.phy,46,TO,268.85,MO
phylogeny_ms_exp1_r_0.800000_4.phy,6,175.04,50.88,MO
phylogeny_ms_exp1_r_0.800000_5.phy,23,72.32,20.98,MO
phylogeny_ms_exp1_r_0.800000_6.phy,19,234.53,48.98,TO
phylogeny_ms_exp1_r_0.800000_7.phy,71,11.27,4.77,TO
phylogeny_ms_exp1_r_0.800000_8.phy,38,TO,244.65,TO
phylogeny_ms_exp1_r_0.800000_9.phy,49,TO,171.88,TO
phylogeny_ms_exp1_r_1.000000_0.phy,4,3.76,2.38,TO
phylogeny_ms_exp1_r_1.000000_10.phy,69,TO,314.02,TO
phylogeny_ms_exp1_r_1.000000_11.phy,31,5.86,3.59,MO
phylogeny_ms_exp1_r_1.000000_12.phy,27,42.08,44.38,TO
phylogeny_ms_exp1_r_1.000000_13.phy,60,TO,231.73000000000002,TO
phylogeny_ms_exp1_r_1.000000_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.000000_15.phy,30,3.49,1.75,TO
phylogeny_ms_exp1_r_1.000000_16.phy,0,51.25,9.3,TO
phylogeny_ms_exp1_r_1.000000_17.phy,25,1517.37,183.45000000000002,TO
phylogeny_ms_exp1_r_1.000000_18.phy,26,569.57,17.67,MO
phylogeny_ms_exp1_r_1.000000_19.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_1.000000_1.phy,29,3214.77,112.94,TO
phylogeny_ms_exp1_r_1.000000_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.000000_3.phy,54,TO,752.0,TO
phylogeny_ms_exp1_r_1.000000_4.phy,21,490.88,54.27,MO
phylogeny_ms_exp1_r_1.000000_5.phy,11,5.75,9.17,TO
phylogeny_ms_exp1_r_1.000000_6.phy,0,4.54,2.37,TO
phylogeny_ms_exp1_r_1.000000_7.phy,2,TO,1888.84,MO
phylogeny_ms_exp1_r_1.000000_8.phy,5,20.45,13.11,TO
phylogeny_ms_exp1_r_1.000000_9.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_1.200000_0.phy,42,TO,1076.63,TO
phylogeny_ms_exp1_r_1.200000_10.phy,7,12.58,11.25,1341.14
phylogeny_ms_exp1_r_1.200000_11.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_1.200000_12.phy,8,41.78,21.13,1287.47
phylogeny_ms_exp1_r_1.200000_13.phy,0,147.17,47.34,TO
phylogeny_ms_exp1_r_1.200000_14.phy,47,495.73,16.47,522.24
phylogeny_ms_exp1_r_1.200000_15.phy,35,TO,244.3,TO
phylogeny_ms_exp1_r_1.200000_16.phy,69,TO,821.46,MO
phylogeny_ms_exp1_r_1.200000_17.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.200000_18.phy,25,TO,526.84,TO
phylogeny_ms_exp1_r_1.200000_19.phy,26,12.26,5.52,1863.54
phylogeny_ms_exp1_r_1.200000_1.phy,24,15.18,5.21,MO
phylogeny_ms_exp1_r_1.200000_2.phy,66,TO,430.24,MO
phylogeny_ms_exp1_r_1.200000_3.phy,0,3.9,2.49,MO
phylogeny_ms_exp1_r_1.200000_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.200000_5.phy,48,TO,421.29,TO
phylogeny_ms_exp1_r_1.200000_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.200000_7.phy,22,TO,532.44,TO
phylogeny_ms_exp1_r_1.200000_8.phy,31,4.77,2.24,MO
phylogeny_ms_exp1_r_1.200000_9.phy,19,6.35,4.01,MO
phylogeny_ms_exp1_r_1.400000_0.phy,47,TO,213.48999999999998,TO
phylogeny_ms_exp1_r_1.400000_10.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_1.400000_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.400000_12.phy,20,307.43,43.43,134.49
phylogeny_ms_exp1_r_1.400000_13.phy,67,TO,102.69,TO
phylogeny_ms_exp1_r_1.400000_14.phy,6,797.08,116.73,TO
phylogeny_ms_exp1_r_1.400000_15.phy,8,44.77,16.2,MO
phylogeny_ms_exp1_r_1.400000_16.phy,7,109.27,62.08,2448.03
phylogeny_ms_exp1_r_1.400000_17.phy,20,1432.48,101.21,MO
phylogeny_ms_exp1_r_1.400000_18.phy,16,34.2,11.12,TO
phylogeny_ms_exp1_r_1.400000_19.phy,16,124.4,42.58,MO
phylogeny_ms_exp1_r_1.400000_1.phy,3,5.49,2.97,MO
phylogeny_ms_exp1_r_1.400000_2.phy,17,TO,714.96,TO
phylogeny_ms_exp1_r_1.400000_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.400000_4.phy,26,TO,133.25,1841.15
phylogeny_ms_exp1_r_1.400000_5.phy,10,6.37,2.5,MO
phylogeny_ms_exp1_r_1.400000_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.400000_7.phy,48,2114.14,100.16,TO
phylogeny_ms_exp1_r_1.400000_8.phy,0,4.81,3.26,TO
phylogeny_ms_exp1_r_1.400000_9.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_1.600000_0.phy,15,TO,1508.3,TO
phylogeny_ms_exp1_r_1.600000_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.600000_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.600000_12.phy,87,TO,2979.17,MO
phylogeny_ms_exp1_r_1.600000_13.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_1.600000_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.600000_15.phy,15,10.53,4.31,297.5
phylogeny_ms_exp1_r_1.600000_16.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_1.600000_17.phy,35,TO,312.62,TO
phylogeny_ms_exp1_r_1.600000_18.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_1.600000_19.phy,34,TO,294.58,386.34
phylogeny_ms_exp1_r_1.600000_1.phy,28,44.18,18.76,MO
phylogeny_ms_exp1_r_1.600000_2.phy,87,TO,701.01,612.39
phylogeny_ms_exp1_r_1.600000_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.600000_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.600000_5.phy,42,TO,374.6,TO
phylogeny_ms_exp1_r_1.600000_6.phy,32,TO,1482.84,TO
phylogeny_ms_exp1_r_1.600000_7.phy,57,TO,989.61,1068.41
phylogeny_ms_exp1_r_1.600000_8.phy,43,TO,2153.52,TO
phylogeny_ms_exp1_r_1.600000_9.phy,46,848.33,105.76,TO
phylogeny_ms_exp1_r_1.800000_0.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_1.800000_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.800000_11.phy,55,TO,2632.03,2082.11
phylogeny_ms_exp1_r_1.800000_12.phy,41,TO,108.02,590.6
phylogeny_ms_exp1_r_1.800000_13.phy,60,TO,1935.34,MO
phylogeny_ms_exp1_r_1.800000_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.800000_15.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_1.800000_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.800000_17.phy,73,TO,442.34000000000003,TO
phylogeny_ms_exp1_r_1.800000_18.phy,61,484.89,26.56,TO
phylogeny_ms_exp1_r_1.800000_19.phy,85,1246.26,73.11,MO
phylogeny_ms_exp1_r_1.800000_1.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_1.800000_2.phy,44,TO,2576.02,TO
phylogeny_ms_exp1_r_1.800000_3.phy,36,TO,240.02,TO
phylogeny_ms_exp1_r_1.800000_4.phy,66,TO,1350.79,TO
phylogeny_ms_exp1_r_1.800000_5.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_1.800000_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_1.800000_7.phy,12,231.56,68.4,TO
phylogeny_ms_exp1_r_1.800000_8.phy,68,351.92,34.93,TO
phylogeny_ms_exp1_r_1.800000_9.phy,18,106.81,39.96,TO
phylogeny_ms_exp1_r_2.000000_0.phy,16,TO,699.33,MO
phylogeny_ms_exp1_r_2.000000_10.phy,91,TO,3131.81,MO
phylogeny_ms_exp1_r_2.000000_11.phy,32,TO,195.5,MO
phylogeny_ms_exp1_r_2.000000_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.000000_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.000000_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.000000_15.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.000000_16.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.000000_17.phy,68,TO,631.79,TO
phylogeny_ms_exp1_r_2.000000_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.000000_19.phy,44,TO,209.4,TO
phylogeny_ms_exp1_r_2.000000_1.phy,69,TO,1168.31,TO
phylogeny_ms_exp1_r_2.000000_2.phy,31,TO,117.98,TO
phylogeny_ms_exp1_r_2.000000_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.000000_4.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.000000_5.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.000000_6.phy,66,TO,298.73,MO
phylogeny_ms_exp1_r_2.000000_7.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.000000_8.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.000000_9.phy,34,1503.84,89.85,TO
phylogeny_ms_exp1_r_2.200000_0.phy,50,TO,2360.86,TO
phylogeny_ms_exp1_r_2.200000_10.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.200000_11.phy,65,TO,803.58,TO
phylogeny_ms_exp1_r_2.200000_12.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.200000_13.phy,38,TO,642.47,TO
phylogeny_ms_exp1_r_2.200000_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.200000_15.phy,97,TO,890.69,2029.11
phylogeny_ms_exp1_r_2.200000_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.200000_17.phy,68,TO,67.17,TO
phylogeny_ms_exp1_r_2.200000_18.phy,90,TO,TO,3493.12
phylogeny_ms_exp1_r_2.200000_19.phy,16,TO,1112.51,MO
phylogeny_ms_exp1_r_2.200000_1.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.200000_2.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.200000_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.200000_4.phy,78,TO,788.5,MO
phylogeny_ms_exp1_r_2.200000_5.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.200000_6.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.200000_7.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.200000_8.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.200000_9.phy,9,92.23,36.06,MO
phylogeny_ms_exp1_r_2.400000_0.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.400000_10.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.400000_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.400000_12.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.400000_13.phy,47,718.37,28.62,TO
phylogeny_ms_exp1_r_2.400000_14.phy,62,1819.35,66.18,TO
phylogeny_ms_exp1_r_2.400000_15.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.400000_16.phy,106,TO,708.11,TO
phylogeny_ms_exp1_r_2.400000_17.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.400000_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.400000_19.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.400000_1.phy,69,TO,2459.44,TO
phylogeny_ms_exp1_r_2.400000_2.phy,66,TO,1429.26,TO
phylogeny_ms_exp1_r_2.400000_3.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.400000_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.400000_5.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.400000_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.400000_7.phy,48,TO,243.47,TO
phylogeny_ms_exp1_r_2.400000_8.phy,51,TO,622.85,TO
phylogeny_ms_exp1_r_2.400000_9.phy,77,TO,248.93,TO
phylogeny_ms_exp1_r_2.600000_0.phy,13,78.72,17.91,MO
phylogeny_ms_exp1_r_2.600000_10.phy,21,TO,1097.35,TO
phylogeny_ms_exp1_r_2.600000_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.600000_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.600000_13.phy,20,19.88,14.79,TO
phylogeny_ms_exp1_r_2.600000_14.phy,30,61.94,17.38,TO
phylogeny_ms_exp1_r_2.600000_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.600000_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.600000_17.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.600000_18.phy,77,TO,1074.21,TO
phylogeny_ms_exp1_r_2.600000_19.phy,61,TO,1129.81,TO
phylogeny_ms_exp1_r_2.600000_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.600000_2.phy,32,TO,133.89,TO
phylogeny_ms_exp1_r_2.600000_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.600000_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.600000_5.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.600000_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.600000_7.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.600000_8.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.600000_9.phy,74,TO,110.47,1657.49
phylogeny_ms_exp1_r_2.800000_0.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.800000_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.800000_11.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.800000_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.800000_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.800000_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.800000_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.800000_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.800000_17.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.800000_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.800000_19.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.800000_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.800000_2.phy,65,TO,3402.6899999999996,TO
phylogeny_ms_exp1_r_2.800000_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.800000_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.800000_5.phy,65,TO,826.57,MO
phylogeny_ms_exp1_r_2.800000_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_2.800000_7.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.800000_8.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_2.800000_9.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_3.000000_0.phy,43,371.8,59.24,TO
phylogeny_ms_exp1_r_3.000000_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.000000_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.000000_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.000000_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.000000_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.000000_15.phy,27,1659.25,111.26,MO
phylogeny_ms_exp1_r_3.000000_16.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_3.000000_17.phy,21,5.11,3.09,MO
phylogeny_ms_exp1_r_3.000000_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.000000_19.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.000000_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.000000_2.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_3.000000_3.phy,53,TO,102.13,2864.91
phylogeny_ms_exp1_r_3.000000_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.000000_5.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.000000_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.000000_7.phy,61,TO,1080.78,TO
phylogeny_ms_exp1_r_3.000000_8.phy,101,TO,TO,885.79
phylogeny_ms_exp1_r_3.000000_9.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.200000_0.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_3.200000_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.200000_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.200000_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.200000_13.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_3.200000_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.200000_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.200000_16.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_3.200000_17.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.200000_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.200000_19.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_3.200000_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.200000_2.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_3.200000_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.200000_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.200000_5.phy,81,TO,208.77,MO
phylogeny_ms_exp1_r_3.200000_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.200000_7.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_3.200000_8.phy,43,TO,155.36,TO
phylogeny_ms_exp1_r_3.200000_9.phy,48,TO,185.28,MO
phylogeny_ms_exp1_r_3.400000_0.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.400000_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.400000_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.400000_12.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_3.400000_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.400000_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.400000_15.phy,62,TO,303.52,TO
phylogeny_ms_exp1_r_3.400000_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.400000_17.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_3.400000_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.400000_19.phy,-1,TO,TO,TO
phylogeny_ms_exp1_r_3.400000_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.400000_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.400000_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_r_3.400000_4.phy,-1,TO,TO,MO
